Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2017,2018,2019,2021,2022,2023,2024
USA,BAU,Carbon Stock|Forest|Total,Mt C,19417.75121269579,20087.70693689044,20673.25365210029,21174.168579857,21594.62955805134,21943.189440515616,22230.28374554968,,,,,,,
USA,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-553.8298321538042,-491.3008644094096,-429.4009244872259,-367.3376136882502,-308.33805067584933,-255.61058047380283,-210.5358236916448,,,,,,,
ASEAN,Historical,Area|Forest|Age Class|0-20,Million ha,24.447499999999998,,,,,,,32.475,29.7365,27.035,20.1858,17.7683,15.4459,13.245700000000001
ASEAN,Historical,Area|Forest|Age Class|21-40,Million ha,74.0511,,,,,,,71.8554,72.8664,73.64489999999999,72.7155,72.3181,71.5596,70.526
ASEAN,Historical,Area|Forest|Age Class|41-60,Million ha,27.8361,,,,,,,22.9908,24.4714,26.0592,31.4054,33.795,36.4439,39.2084
ASEAN,Historical,Area|Forest|Age Class|61+,Million ha,201.41619999999998,,,,,,,200.4297,200.67659999999998,201.0118,203.4442,203.8695,204.3015,204.7708
ASEAN,Historical,Carbon Stock|Forest|Total,Mt C,30677.330277029407,,,,,,,30021.998763305117,30243.121529473687,30461.69657926998,30889.65781339511,31098.34453948348,31303.086862836582,31503.6127551178
ASEAN,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-790.6568917845697,,,,,,,-818.5827600876,-810.7834759514424,-801.4418492530638,-778.5343000075901,-765.1846623240091,-750.7218522947068,-735.2616050311352
Canada,Historical,Area|Forest|Age Class|0-20,Million ha,0.7488,,,,,,,0.7488,0.7488,0.7488,0.6995,0.6995,0.6995,0.6995
Canada,Historical,Area|Forest|Age Class|21-40,Million ha,0.4242,,,,,,,0.5159,0.477,0.447,0.282,0.2725,0.2653,0.2592
Canada,Historical,Area|Forest|Age Class|41-60,Million ha,10.2662,,,,,,,13.0382,11.9983,11.0754,7.1763,6.5392,5.9828,5.4691
Canada,Historical,Area|Forest|Age Class|61+,Million ha,437.3257,,,,,,,434.462,435.5408,436.4937,440.6071,441.2537,441.8173,442.3371
Canada,Historical,Carbon Stock|Forest|Total,Mt C,18866.318176551616,,,,,,,18585.08120778955,18680.281414319983,18773.991661416523,18957.361832435457,19047.21810290703,19135.977120316667,19223.723831968706
Canada,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-338.5305554953423,,,,,,,-354.93920696843634,-349.06742394492176,-343.6042393539804,-333.8267382407503,-329.4729917291018,-325.44973050200133,-321.7379427241406
China,Historical,Area|Forest|Age Class|0-20,Million ha,51.6047,,,,,,,66.9793,61.8793,56.7509,41.1083,35.8045,30.6404,25.4831
China,Historical,Area|Forest|Age Class|21-40,Million ha,74.9872,,,,,,,64.4154,67.9376,71.4869,81.2662,84.6845,87.8837,90.9684
China,Historical,Area|Forest|Age Class|41-60,Million ha,38.1847,,,,,,,37.4661,37.6683,37.904,37.2747,37.7771,38.3197,38.9042
China,Historical,Area|Forest|Age Class|61+,Million ha,34.0087,,,,,,,29.9245,31.3001,32.6435,39.1361,40.5192,41.9415,43.4296
China,Historical,Carbon Stock|Forest|Total,Mt C,7037.491800599174,,,,,,,6788.936012153761,6881.761220575388,6964.353647984949,7102.131244614885,7159.287604728771,7209.947573988004,7255.01319075628
China,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-268.1732262521582,,,,,,,-379.6385116014368,-340.3590975459638,-302.8389005017252,-237.0112947242736,-209.57332041758187,-185.75322061718637,-165.24059481701352
European Union & United Kingdom,Historical,Area|Forest|Age Class|0-20,Million ha,2.9074999999999998,,,,,,,2.9079,2.9076,2.9074999999999998,1.9862,1.9861,1.986,1.986
European Union & United Kingdom,Historical,Area|Forest|Age Class|21-40,Million ha,5.8389,,,,,,,6.1622,6.0329,5.930499999999999,4.9032,4.8456,4.7998,4.7597000000000005
European Union & United Kingdom,Historical,Area|Forest|Age Class|41-60,Million ha,29.658099999999997,,,,,,,33.6639,32.2828,30.9607,22.9345,21.683600000000002,20.4916,19.3873
European Union & United Kingdom,Historical,Area|Forest|Age Class|61+,Million ha,133.1321,,,,,,,128.80259999999998,130.3133,131.7379,141.71269999999998,143.0213,144.2592,145.40359999999998
European Union & United Kingdom,Historical,Carbon Stock|Forest|Total,Mt C,8056.175092784361,,,,,,,7819.4728487265,7899.792739161303,7978.6725665160175,8132.353997954973,8207.249801807317,8280.8888776322,8353.287728316966
European Union & United Kingdom,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-284.1759296505936,,,,,,,-300.0498772197081,-294.50626492760716,-289.2260336339544,-279.32265229224384,-274.6179474585938,-270.0099446912393,-265.46245251080654
India,Historical,Area|Forest|Age Class|0-20,Million ha,6.2659,,,,,,,7.4825,7.0227,6.6282,3.2633,2.9785,2.682,2.4014
India,Historical,Area|Forest|Age Class|21-40,Million ha,23.5471,,,,,,,23.7486,23.7649,23.689,25.0352,24.7187,24.3646,23.9623
India,Historical,Area|Forest|Age Class|41-60,Million ha,9.2182,,,,,,,8.262,8.5706,8.8897,10.1217,10.5307,10.9776,11.4374
India,Historical,Area|Forest|Age Class|61+,Million ha,2.7917,,,,,,,2.3298,2.4647,2.616,3.4027,3.595,3.7987,4.0218
India,Historical,Carbon Stock|Forest|Total,Mt C,1273.7161703302625,,,,,,,1177.9987075779902,1210.1478035844734,1242.06547453,1305.0670746211367,1336.0880890293377,1366.7517915533783,1397.0333730302507
India,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-116.05255126762871,,,,,,,-118.58825530115246,-117.88001869043842,-117.03146013359772,-114.95331573320564,-113.74371949673672,-112.43357592148246,-111.03246541519866
Japan,Historical,Area|Forest|Age Class|0-20,Million ha,0.1659,,,,,,,0.2629,0.2256,0.1936,0.0728,0.0558,0.0456,0.0368
Japan,Historical,Area|Forest|Age Class|21-40,Million ha,5.443,,,,,,,6.7408,6.338,5.8972,3.815,3.4209,3.107,2.8014
Japan,Historical,Area|Forest|Age Class|41-60,Million ha,15.3068,,,,,,,15.4835,15.451,15.397,12.7442,12.6094,12.4715,12.3077
Japan,Historical,Area|Forest|Age Class|61+,Million ha,12.3494,,,,,,,10.7779,11.2505,11.7773,16.6331,17.179,17.641,18.1192
Japan,Historical,Carbon Stock|Forest|Total,Mt C,1489.431235924306,,,,,,,1413.1677327539028,1439.6467693242164,1465.0626779395477,1512.7716638579,1535.1060557052836,1556.4588612879097,1576.8564202930925
Japan,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-89.35137927744813,,,,,,,-101.0308839085754,-97.08980075781656,-93.19166492288066,-85.5815690898443,-81.89277010707315,-78.29362046962842,-74.79104968567094
Latin America,Historical,Area|Forest|Age Class|0-20,Million ha,13.2235,,,,,,,18.1916,16.3272,14.6999,8.566699999999999,7.3648,6.3809,5.5944
Latin America,Historical,Area|Forest|Age Class|21-40,Million ha,69.3357,,,,,,,73.3072,72.0956,70.705,65.3058,63.7809,62.0675,60.2838
Latin America,Historical,Area|Forest|Age Class|41-60,Million ha,51.7897,,,,,,,44.6462,47.2261,49.6395,56.3731,58.2345,59.9944,61.574400000000004
Latin America,Historical,Area|Forest|Age Class|61+,Million ha,706.4368000000001,,,,,,,704.6407,705.1368,705.7412999999999,710.5400999999999,711.4055,712.3429,713.3331
Latin America,Historical,Carbon Stock|Forest|Total,Mt C,93581.83610773338,,,,,,,93010.46984044046,93203.53626871998,93394.02320092983,93766.89763771073,93949.14250907925,94128.5093610281,94304.93948222755
Latin America,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-688.6473249463011,,,,,,,-716.9628628619934,-707.910237024909,-698.452084769457,-678.5589432503435,-668.2311950178797,-657.67845714576,-646.9104443979768
