Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
AZE,NetZero,Carbon Stock|Forest|Total,Mt C,30.578252730147003,31.576982457286977,32.743070840363,34.005958271195745,35.141906648299674,36.05907499612905,36.78588714345298
AZE,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.7546733290878727,-0.7324017999026475,-0.8551314809224191,-0.9261174492773435,-0.8330288098762149,-0.6725901217415412,-0.5329955747042178
BDI,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0198,0.012304569932854054,0.009309139865708112,0.007313709798562172,0.006893100474181631,0.0057709678388497354,0.004488530541327572
BDI,NetZero,Area|Forest|Age Class|21-40,Million ha,0.015,0.0233,0.026,0.0264,0.021723655946283244,0.014228225879137297,0.011232795811991355
BDI,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0022,0.0035,0.0055,0.0088,0.015,0.0233,0.026
BDI,NetZero,Area|Forest|Age Class|61+,Million ha,0.0361,0.0364,0.0371,0.0378,0.0383,0.0399,0.0426
BDI,NetZero,Carbon Stock|Forest|Total,Mt C,2.964017561999684,3.1258984070685525,3.294118351208792,3.4653926071574426,3.632042850844445,3.793859451608882,3.9501156617316755
BDI,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.10297647919360631,-0.11871261971717036,-0.12336129236950892,-0.12560112102901047,-0.12221017870380169,-0.118665507227254,-0.11458788742338177
BEL,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0038,0.005732894554281709,0.010610087293323989,0.014442981847605696,0.0144429818476057,0.011265525841132445,0.00808806983465919
BEL,NetZero,Area|Forest|Age Class|21-40,Million ha,0.022,0.0188,0.0123,0.0077,0.0072663156434253666,0.010354648745515534,0.014076402936749355
BEL,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0847,0.0459,0.0335,0.0273,0.022,0.0188,0.0123
BEL,NetZero,Area|Forest|Age Class|61+,Million ha,0.385,0.4294,0.4492,0.4605,0.4697,0.4753,0.4827
BEL,NetZero,Carbon Stock|Forest|Total,Mt C,40.51212999428977,42.02721529492599,43.324839556763045,44.45275852896507,45.44896016056868,46.33885997584936,47.13735048124691
BEL,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1.3115244889842148,-1.1110625537998913,-0.9515911253471756,-0.8271405796148181,-0.7305478631759816,-0.6525931978724974,-0.5855597039582051
BEN,NetZero,Area|Forest|Age Class|0-20,Million ha,0.3122,0.2158826481496873,0.0919652962993746,0.05574794444906181,0.04811025802910353,0.04027835555924947,0.03132760987941624
BEN,NetZero,Area|Forest|Age Class|21-40,Million ha,0.1354,0.2375,0.3469,0.3631,0.3256261185197497,0.22930876666943714,0.10539141481912444
BEN,NetZero,Area|Forest|Age Class|41-60,Million ha,0.006,0.0165,0.0477,0.083,0.1354,0.2375,0.3469
BEN,NetZero,Area|Forest|Age Class|61+,Million ha,0.0566,0.0571,0.0572,0.0587,0.0626,0.0736,0.1049
BEN,NetZero,Carbon Stock|Forest|Total,Mt C,7.301848366064256,8.864346254465643,10.545422279463102,12.276234480604206,13.987894937389715,15.639043171434622,17.200378360632282
BEN,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.9908788441166166,-1.1458317848276836,-1.2327890849981367,-1.2692622808368097,-1.2552176683093734,-1.2108420382995984,-1.1449791387449504
BES,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0001998632780938098,0.0002997265561876196,0.0003796171786626674,0.0002596445230439053,0.00019972655618761943,0.00013581405820758128
BES,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0002,0.0001,0.0001,0.0001,0.00017989062247504784,0.00027975390056885765,0.00036363905416765785
BES,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0006,0.0003,0.0003,0.0002,0.0002,0.0001,0.0001
BES,NetZero,Area|Forest|Age Class|61+,Million ha,0.0013,0.0017,0.0017,0.0018,0.0019,0.002,0.002
BES,NetZero,Carbon Stock|Forest|Total,Mt C,0.018886009999999998,0.020333447045431424,0.021784176850163484,0.022945465059557236,0.02381660794393276,0.02439759571343914,0.024688428232186397
BES,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,-0.0010614538333163785,-0.0010638685234701773,-0.0008516113535554183,-0.0006388381152087166,-0.0004260576976380122,-0.00021327718041465603
BFA,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0051,0.0043203914986336845,0.001940782997267364,0.0006611744959010471,0.0006317889627498891,0.0005289395967208376,0.00041139746411620703
BFA,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0012,0.0018,0.0043,0.0055,0.005276313198906948,0.004496704697540632,0.0021170961961743096
BFA,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0003,0.0007,0.0008,0.001,0.0012,0.0018,0.0043
BFA,NetZero,Area|Forest|Age Class|61+,Million ha,0.0001,0.0001,0.0001,0.0002,0.0004,0.0008,0.0009
BFA,NetZero,Carbon Stock|Forest|Total,Mt C,0.06719590314547225,0.08692337943481396,0.10077734914988572,0.1111470271916384,0.11928236809455717,0.12581321272224805,0.13111540033603272
BFA,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.01837118491707027,-0.014466815945517252,-0.010159577791052624,-0.007604430563951964,-0.005965916662140433,-0.0047892860603066445,-0.0038882709167754282
BGD,NetZero,Area|Forest|Age Class|0-20,Million ha,0.5756,0.21980298264376227,0.22190596528752454,0.2649883514025344,0.24466775487378192,0.18820596528752456,0.1279800563955167
BGD,NetZero,Area|Forest|Age Class|21-40,Million ha,1.2919,1.6099,1.3267,0.9473,0.6508823861150098,0.2950853687587721,0.2821318741795324
BGD,NetZero,Area|Forest|Age Class|41-60,Million ha,0.197,0.324,0.6727,1.0271,1.2919,1.6099,1.3267
BGD,NetZero,Area|Forest|Age Class|61+,Million ha,0.0086,0.0135,0.04,0.0972,0.2056,0.3375,0.7127
BGD,NetZero,Carbon Stock|Forest|Total,Mt C,71.5943834160494,87.10365827638095,102.96240941572175,119.1322620115065,133.03445522792023,143.8153886195538,151.91786816336645
BGD,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-12.276799194381693,-11.37346823090981,-11.629750835516584,-11.857891903575482,-10.194941692036739,-7.906017820531282,-5.941818332129276
BGR,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0083,0.041123912564432305,0.0901891293170087,0.127413041881441,0.12741304188144104,0.09938217266752397,0.07135130345360699
BGR,NetZero,Area|Forest|Age Class|21-40,Million ha,0.1665,0.0855,0.0411,0.0198,0.03887913005154584,0.08189608596649343,0.12076825936855454
BGR,NetZero,Area|Forest|Age Class|41-60,Million ha,0.9492,0.7454,0.5261,0.3109,0.1665,0.0855,0.0411
BGR,NetZero,Area|Forest|Age Class|61+,Million ha,3.2472,3.5374,3.803,4.0405,4.1964,4.2828,4.3291
BGR,NetZero,Carbon Stock|Forest|Total,Mt C,222.09424350703938,228.5970441328716,234.52485251389834,239.89779250638662,244.82119542637906,249.34406418765585,253.51186364397384
BGR,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-5.247456519297229,-4.768720458943619,-4.347059479419617,-3.940155994491408,-3.6104954746611226,-3.316770424936307,-3.0563862679665283
BHS,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0196,0.011686704638292494,0.008073409276584988,0.006660113914877479,0.004460113914877475,0.003568091131901981,0.0025273978850972366
BHS,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0928,0.0881,0.0616,0.033,0.020789363710633994,0.01287606834892649,0.009262772987218983
BHS,NetZero,Area|Forest|Age Class|41-60,Million ha,0.012,0.0256,0.0565,0.084,0.0928,0.0881,0.0616
BHS,NetZero,Area|Forest|Age Class|61+,Million ha,0.0006,0.0011,0.0018,0.0058,0.0126,0.0267,0.0583
BHS,NetZero,Carbon Stock|Forest|Total,Mt C,2.8555166567753236,3.1669946751684166,3.4456250174645335,3.6938794488531785,3.9130760547056354,4.103384222312257,4.267901480975115
BHS,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.2495900704333985,-0.22841721348826818,-0.20432891768381908,-0.18205324968500633,-0.160744177625135,-0.13955932291152234,-0.12064598968609605
BIH,NetZero,Area|Forest|Age Class|0-20,Million ha,0.002,0.14834881371504102,0.29419762743008204,0.41155667840211485,0.3820669156591068,0.2938976274300819,0.19985038665245575
BIH,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0133,0.0077,0.0043,0.0024,0.11955905097203283,0.26590786468707384,0.3882448682077083
BIH,NetZero,Area|Forest|Age Class|41-60,Million ha,0.1387,0.0747,0.0415,0.0246,0.0133,0.0077,0.0043
BIH,NetZero,Area|Forest|Age Class|61+,Million ha,3.0833,3.1535,3.1912,3.2102,3.222,3.2282,3.2327
BIH,NetZero,Carbon Stock|Forest|Total,Mt C,148.60278139513437,157.78860583629833,181.6741520015565,326.2761798256716,928.4783172685221,2484.7697830257353,5260.205098239435
BIH,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7.007094127254045,-6.73627125685357,-17.516067187855995,-106.04148707101771,-441.6149007914237,-1141.2804082219563,-2035.3192311567132
BLM,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0001,0.00010118936371063398,0.00010237872742126796,3.5680911319019807e-06,3.5680911319019824e-06,2.8544729055215858e-06,2.0219183080777902e-06
BLM,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0001,0.00010095149096850719,0.00010214085467914116,0.00010333021838977514
BLM,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,NetZero,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,NetZero,Carbon Stock|Forest|Total,Mt C,0.0,,,,,,
BLM,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,,,,,,
BLR,NetZero,Area|Forest|Age Class|0-20,Million ha,0.2656,0.22549017450490558,0.13997543626226386,0.16121315439339573,0.14927118929437685,0.12470757586618832,0.10392297988849027
BLR,NetZero,Area|Forest|Age Class|21-40,Million ha,1.1067,0.7492,0.7114,0.4206,0.29583213960392446,0.27083838391079224,0.17776561076716937
BLR,NetZero,Area|Forest|Age Class|41-60,Million ha,4.7998,3.8682,2.8642,2.055,1.1067,0.7492,0.7114
BLR,NetZero,Area|Forest|Age Class|61+,Million ha,7.5081,8.8751,10.0591,11.1851,12.3079,12.7433,12.9233
BLR,NetZero,Carbon Stock|Forest|Total,Mt C,976.1480536455133,1036.0058971441854,1093.0275518552376,1146.7419814635796,1197.044409058159,1243.8984635708441,1287.4468020566705
BLR,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-45.68384270741078,-43.895751899026195,-41.81588012143826,-39.39058171278414,-36.88844690269164,-34.35963997596902,-31.935448222939385
BLZ,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0469,0.024393560713508806,0.03398712142701761,0.047980682140526414,0.0473806821405264,0.03790454571242114,0.026849053212964952
BLZ,NetZero,Area|Forest|Age Class|21-40,Million ha,0.9963,0.8908,0.6009,0.2656,0.05953484857080704,0.03702840928431585,0.046621969997824655
BLZ,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0666,0.2025,0.4885,0.8117,0.9963,0.8908,0.6009
BLZ,NetZero,Area|Forest|Age Class|61+,Million ha,0.2181,0.226,0.2361,0.25,0.2847,0.4285,0.7246
BLZ,NetZero,Carbon Stock|Forest|Total,Mt C,69.15243294075432,73.97262554457235,77.24239557981721,79.55365978781576,81.28942307096311,82.63712458285329,83.69084812816911
BLZ,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-5.1326425695526465,-3.5348079094665543,-2.3978313591795644,-1.6949270858656014,-1.2728930743080562,-0.9883144420527978,-0.7727305998982672
BOL,NetZero,Area|Forest|Age Class|0-20,Million ha,1.6224,1.519150890768004,1.654901781536008,2.1068526723040115,2.028452672304012,1.62276213784321,1.1494565143056072
BOL,NetZero,Area|Forest|Age Class|21-40,Million ha,4.5551,3.8587,3.3326,2.4941,2.163320712614403,2.060071603382407,2.195822494150411
BOL,NetZero,Area|Forest|Age Class|41-60,Million ha,4.2731,4.8737,4.9612,4.9069,4.5551,3.8587,3.3326
BOL,NetZero,Area|Forest|Age Class|61+,Million ha,46.3992,47.2744,48.2534,49.3704,50.6723,52.1481,53.2146
BOL,NetZero,Carbon Stock|Forest|Total,Mt C,6246.114595720834,6331.429045980057,6416.148338231564,6500.166266566803,6580.999767324659,6655.517387949871,6723.830802711025
BOL,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-60.84062745434524,-62.56393019009695,-62.12748098443838,-61.61314744584197,-59.27790055576121,-54.64625512515528,-50.09650415817996
BRA,NetZero,Area|Forest|Age Class|0-20,Million ha,4.3697,6.728789274508355,10.34927854901671,14.494867823525063,14.25356782352506,11.402854258820048,8.077021766664203
BRA,NetZero,Area|Forest|Age Class|21-40,Million ha,15.8941,13.6392,10.5943,7.6681,8.170651419606683,10.529740694115038,14.150229968623393
BRA,NetZero,Area|Forest|Age Class|41-60,Million ha,14.0272,16.065,17.2779,16.9895,15.8941,13.6392,10.5943
BRA,NetZero,Area|Forest|Age Class|61+,Million ha,365.1822,367.7914,370.7541,374.5743,379.2094,383.8564,388.032
BRA,NetZero,Carbon Stock|Forest|Total,Mt C,49070.45363421301,49365.731065380816,49665.51758051136,49975.91179757392,50293.59808534438,50607.92310855968,50923.61818831925
BRA,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-195.7969901071769,-216.53678285639225,-219.84344442906632,-227.62242584587702,-232.9699443650058,-230.5050170245483,-231.5097251570187
BRB,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0,3.80596387402878e-05,7.61192774805756e-05,0.00011417891622086338,0.00011417891622086344,9.134313297669074e-05,6.470138585848929e-05
BRB,NetZero,Area|Forest|Age Class|21-40,Million ha,0.003,0.0019,0.0002,0.0001,3.044771099223024e-05,6.850734973251805e-05,0.00010656698847280583
BRB,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0002,0.0013,0.003,0.0031,0.003,0.0019,0.0002
BRB,NetZero,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0002,0.0013,0.003
BRB,NetZero,Carbon Stock|Forest|Total,Mt C,0.05386787251263858,0.06661906675314352,0.07370615635296116,0.07725283170518334,0.07894983700968623,0.08002393861513381,0.08122444303888278
