Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
BFA,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.019005191236116742,-0.01887048034084842,-0.01824792331935416,-0.017374658200064917,-0.01635631837020986,-0.015244913151628531,-0.014094771428163223,-0.012961007534248179
BGD,Historical,Area|Forest|Age Class|0-20,Million ha,0.77,0.6921,0.6301,0.5756,0.4937,0.4268,0.3351,0.2256
BGD,Historical,Area|Forest|Age Class|21-40,Million ha,1.1709,1.2213,1.2554,1.2919,1.3299,1.3747,1.4453,1.5305
BGD,Historical,Area|Forest|Age Class|41-60,Million ha,0.1278,0.1534,0.1799,0.197,0.239,0.2602,0.2802,0.3038
BGD,Historical,Area|Forest|Age Class|61+,Million ha,0.0044,0.0063,0.0077,0.0086,0.0105,0.0114,0.0125,0.0132
BGD,Historical,Carbon Stock|Forest|Total,Mt C,61.662582984531596,65.02396989393571,68.33805734,71.5943834160494,74.7875656108022,77.91953094219812,81.00102837166988,84.0511063462058
BGD,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-12.449022152680438,-12.325085334481765,-12.151653968902403,-11.939862278847764,-11.708334714093628,-11.483872881785032,-11.298823908063094,-11.183619239965054
BGR,Historical,Area|Forest|Age Class|0-20,Million ha,0.0083,0.0083,0.0083,0.0083,0.0029,0.0029,0.0029,0.0029
BGR,Historical,Area|Forest|Age Class|21-40,Million ha,0.2321,0.2077,0.1869,0.1665,0.129,0.116,0.1038,0.0944
BGR,Historical,Area|Forest|Age Class|41-60,Million ha,1.0407,1.0075,0.9788,0.9492,0.9059,0.8626,0.8239,0.7834
BGR,Historical,Area|Forest|Age Class|61+,Million ha,3.0901,3.1477,3.1972,3.2472,3.3334,3.3897,3.4406,3.4905
BGR,Historical,Carbon Stock|Forest|Total,Mt C,217.91136288970262,219.34167114917616,220.73568846999999,222.09424350703938,223.41817260200543,224.70831625302898,225.965515916795,227.19061112825716
BGR,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-5.380526397493137,-5.244463618069678,-5.1113968430206755,-4.981368469144447,-4.854406681542173,-4.730526720419704,-4.609732100475393,-4.492015775361257
BHS,Historical,Area|Forest|Age Class|0-20,Million ha,0.0199,0.0196,0.0196,0.0196,0.0102,0.0102,0.0102,0.0102
BHS,Historical,Area|Forest|Age Class|21-40,Million ha,0.0964,0.0957,0.0941,0.0928,0.0974,0.0957,0.0932,0.0909
BHS,Historical,Area|Forest|Age Class|41-60,Million ha,0.0081,0.0091,0.0107,0.012,0.0163,0.018,0.0205,0.0228
BHS,Historical,Area|Forest|Age Class|61+,Million ha,0.0006,0.0006,0.0006,0.0006,0.0011,0.0011,0.0011,0.0011
BHS,Historical,Carbon Stock|Forest|Total,Mt C,2.6555786763767344,2.72368889131306,2.79034629,2.8555166567753236,2.9191730415126487,2.9812960730977744,3.041873764962791,3.1009009814698754
BHS,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.25491586499704183,-0.2497374547665269,-0.24441046185211368,-0.23895801150951992,-0.2334067440368585,-0.22778444914546117,-0.22211820350506128,-0.21643312719264207
BIH,Historical,Area|Forest|Age Class|0-20,Million ha,0.002,0.002,0.002,0.002,0.0014,0.0014,0.0014,0.0014
BIH,Historical,Area|Forest|Age Class|21-40,Million ha,0.0135,0.0133,0.0133,0.0133,0.0078,0.0077,0.0077,0.0077
BIH,Historical,Area|Forest|Age Class|41-60,Million ha,0.179,0.1632,0.1508,0.1387,0.1027,0.0947,0.087,0.0801
BIH,Historical,Area|Forest|Age Class|61+,Million ha,3.0428,3.0588,3.0712,3.0833,3.1254,3.1335,3.1412,3.1481
BIH,Historical,Carbon Stock|Forest|Total,Mt C,143.03034865288245,144.9375974758624,146.79310861,148.60278139513437,150.3769332079004,152.13412766097008,153.9079111632954,155.75808941990633
BIH,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7.196005059704172,-6.993245684259771,-6.8035408251712015,-6.635466878826065,-6.505223313475463,-6.443046327922133,-6.5038728418595415,-6.783986940906695
BLM,Historical,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
BLM,Historical,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,Historical,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,Historical,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,Historical,Carbon Stock|Forest|Total,Mt C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,Historical,Area|Forest|Age Class|0-20,Million ha,0.2656,0.2656,0.2656,0.2656,0.1877,0.1877,0.1877,0.1877
BLR,Historical,Area|Forest|Age Class|21-40,Million ha,1.268,1.208,1.1557,1.1067,0.8264,0.7995,0.7791,0.7624
BLR,Historical,Area|Forest|Age Class|41-60,Million ha,4.8905,4.8691,4.8382,4.7998,4.1123,4.0559,3.9972,3.9303
BLR,Historical,Area|Forest|Age Class|61+,Million ha,7.2561,7.3375,7.4207,7.5081,8.5538,8.6371,8.7162,8.7998
BLR,Historical,Carbon Stock|Forest|Total,Mt C,939.0996399084821,951.5621210079518,963.91261159,976.1480536455133,988.2655795543384,1000.2625092935281,1012.136347337165,1023.884779276552
BLR,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-46.09447613610075,-45.695764031388684,-45.28513213417682,-44.86328753688216,-44.43092833235865,-43.98874237702883,-43.537406160002206,-43.07758377775208
BLZ,Historical,Area|Forest|Age Class|0-20,Million ha,0.1586,0.1165,0.0774,0.0469,0.0274,0.0202,0.0152,0.012
BLZ,Historical,Area|Forest|Age Class|21-40,Million ha,0.8991,0.9392,0.974,0.9963,0.9815,0.9747,0.9538,0.9235
BLZ,Historical,Area|Forest|Age Class|41-60,Million ha,0.0521,0.0541,0.0584,0.0666,0.093,0.107,0.1329,0.1664
BLZ,Historical,Area|Forest|Age Class|61+,Million ha,0.2181,0.2181,0.2181,0.2181,0.226,0.226,0.226,0.226
BLZ,Historical,Carbon Stock|Forest|Total,Mt C,65.2546936726163,66.65232944489085,67.95052260000001,69.15243294075432,70.26192819155392,71.2833782874742,72.22147920658713,73.08110862328455
BLZ,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-5.497441049425326,-5.124664498340033,-4.760041568733588,-4.407004582765802,-4.068149252931855,-3.745317018374384,-3.4397033700807307,-3.1519745278905256
BOL,Historical,Area|Forest|Age Class|0-20,Million ha,1.7522,1.6942,1.6531,1.6224,0.9257,0.8946,0.8683,0.8494
BOL,Historical,Area|Forest|Age Class|21-40,Million ha,4.932,4.8305,4.7111,4.5551,4.485,4.3232,4.1679,4.014
BOL,Historical,Area|Forest|Age Class|41-60,Million ha,3.9771,4.083,4.1709,4.2731,4.6158,4.7041,4.779,4.8347
BOL,Historical,Area|Forest|Age Class|61+,Million ha,46.1885,46.2421,46.3147,46.3992,46.8233,46.9279,47.0346,47.1517
BOL,Historical,Carbon Stock|Forest|Total,Mt C,6196.724028213027,6213.323487279945,6229.78873691,6246.114595720834,6262.297180553601,6278.3337538801325,6294.222474443176,6309.962034178163
BOL,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-61.33274287138738,-60.86468324536569,-60.37258197686848,-59.86148230639052,-59.33614438681282,-58.800768863949386,-58.25864206449296,-57.71171902828519
BRA,Historical,Area|Forest|Age Class|0-20,Million ha,5.5551,5.1727,4.7746,4.3697,2.9551,2.6123,2.3469,2.1467
BRA,Historical,Area|Forest|Age Class|21-40,Million ha,16.2782,16.1323,15.9997,15.8941,14.4467,14.3211,14.1273,13.8886
BRA,Historical,Area|Forest|Age Class|41-60,Million ha,12.8756,13.2962,13.6893,14.0272,15.4921,15.7003,15.8574,15.9632
BRA,Historical,Area|Forest|Age Class|61+,Million ha,364.7643,364.872,365.0096,365.1822,366.5793,366.8395,367.1416,367.4747
BRA,Historical,Carbon Stock|Forest|Total,Mt C,48912.46291799743,48965.92944681053,49018.61415310006,49070.45363421301,49121.388942056205,49171.36594652698,49220.335637849734,49268.254359896804
BRA,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-198.66333592650818,-196.0439389813667,-193.17725639495134,-190.07809741414044,-186.76279542505168,-183.2490163928475,-179.55553485009295,-175.70198083925789
BRB,Historical,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,Historical,Area|Forest|Age Class|21-40,Million ha,0.0032,0.0032,0.0031,0.003,0.0025,0.0025,0.0025,0.0023
BRB,Historical,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0001,0.0002,0.0007,0.0007,0.0007,0.0009
BRB,Historical,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,Historical,Carbon Stock|Forest|Total,Mt C,0.04179159816469014,0.0455349152353337,0.0499704,0.05386787251263858,0.05708087528748649,0.05986848040630809,0.06236152571611295,0.06460563756932551
BRB,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.012312486777187801,-0.01372549592569304,-0.016263444137109763,-0.014290732546341472,-0.011781010174442327,-0.010221218769012547,-0.009141166135951133,-0.008228410128446065
BRN,Historical,Area|Forest|Age Class|0-20,Million ha,0.0096,0.0091,0.0086,0.0078,0.0052,0.0047,0.0044,0.0044
BRN,Historical,Area|Forest|Age Class|21-40,Million ha,0.0086,0.0091,0.0096,0.0104,0.0115,0.012,0.0123,0.0122
BRN,Historical,Area|Forest|Age Class|41-60,Million ha,0.0001,0.0001,0.0001,0.0001,0.0016,0.0016,0.0016,0.0017
BRN,Historical,Area|Forest|Age Class|61+,Million ha,0.5486,0.5486,0.5486,0.5486,0.5486,0.5486,0.5486,0.5486
BRN,Historical,Carbon Stock|Forest|Total,Mt C,69.30042250782537,69.35952261854385,69.42039778,69.48294715483898,69.54707623892111,69.61272176517058,69.67986103358982,69.74849927280685
BRN,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.2099062761346649,-0.21670040596774243,-0.22320892533922648,-0.22934770774292682,-0.23513997496779382,-0.24070026291471908,-0.24617731753721253,-0.2516735437958033
BTN,Historical,Area|Forest|Age Class|0-20,Million ha,0.0289,0.0274,0.0258,0.0251,0.0113,0.0109,0.0107,0.0106
BTN,Historical,Area|Forest|Age Class|21-40,Million ha,0.483,0.4736,0.4651,0.4563,0.2924,0.284,0.277,0.2662
BTN,Historical,Area|Forest|Age Class|41-60,Million ha,1.5707,1.5644,1.5578,1.551,1.4012,1.3907,1.376,1.3658
BTN,Historical,Area|Forest|Age Class|61+,Million ha,1.3177,1.3349,1.3516,1.3679,1.6954,1.7147,1.7366,1.7577
BTN,Historical,Carbon Stock|Forest|Total,Mt C,139.6702930216242,141.6664240430691,143.62974494,145.5597087370989,147.45585265470964,149.31779483820372,151.14523093419956,152.937930543981
BTN,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7.437125254044976,-7.319147078631336,-7.198843288746616,-7.076533922695991,-6.952527697906058,-6.827121339478291,-6.700599018651397,-6.573231902531934
BWA,Historical,Area|Forest|Age Class|0-20,Million ha,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
BWA,Historical,Area|Forest|Age Class|21-40,Million ha,0.0004,0.0004,0.0004,0.0004,0.0001,0.0001,0.0001,0.0001
BWA,Historical,Area|Forest|Age Class|41-60,Million ha,0.0011,0.0011,0.0011,0.0011,0.001,0.001,0.001,0.001
BWA,Historical,Area|Forest|Age Class|61+,Million ha,0.0129,0.0129,0.0129,0.0129,0.0133,0.0133,0.0133,0.0133
BWA,Historical,Carbon Stock|Forest|Total,Mt C,0.3614823814290478,0.36350087561875105,0.3654908,0.3674531786801675,0.3693888773256507,0.3712985999071991,0.3731828891346339,0.37504213036740125
