Reporting_Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
Russia and Neighboring Transition Countries,Area|Forest|Age Class|0-20,Million ha,4.3016,3.4995,2.5783,0.3044,0.0,0.0,0.0
Russia and Neighboring Transition Countries,Area|Forest|Age Class|21-40,Million ha,16.8024,8.5166,5.265899999999999,5.2221,4.3016,3.4995,2.5783
Russia and Neighboring Transition Countries,Area|Forest|Age Class|41-60,Million ha,136.8938,94.1748,59.486900000000006,33.1569,16.8024,8.5166,5.265899999999999
Russia and Neighboring Transition Countries,Area|Forest|Age Class|61+,Million ha,1290.0188,1341.8257,1380.6855,1409.3332,1426.9126,1436.0005,1440.1724
Russia and Neighboring Transition Countries,Carbon Stock|Forest|Total,Mt C,1764495849842.3245,5.277538511920393e+21,2.396097318918896e+28,1.2522638572426591e+31,1.6127901783186408e+32,inf,inf
Russia and Neighboring Transition Countries,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1293963568384.908,-3.870194907447658e+21,-1.7571376468543663e+28,-9.165696906107429e+30,-1.0908801145692082e+32,-inf,-304225649888.0836
Sub-Saharan Africa,Area|Forest|Age Class|0-20,Million ha,59.9683,29.3733,9.0797,1.1267,0.0,0.0,0.0
Sub-Saharan Africa,Area|Forest|Age Class|21-40,Million ha,73.6596,93.7871,99.8563,87.5367,59.9683,29.3733,9.0797
Sub-Saharan Africa,Area|Forest|Age Class|41-60,Million ha,20.4076,27.959500000000002,37.9946,52.5516,73.6596,93.7871,99.8563
Sub-Saharan Africa,Area|Forest|Age Class|61+,Million ha,301.9712,304.8868,309.0761,314.7917,322.3788,332.8463,347.0707
Sub-Saharan Africa,Carbon Stock|Forest|Total,Mt C,inf,46569.449088565925,48108.52555133716,54020.13281807984,67498.11398318896,84369.9748733291,98969.04495632349
Sub-Saharan Africa,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-inf,inf,-1128.6560726989073,-4335.178662277963,-9883.852854413359,-12372.697986102768,-10705.984727529218
USA,Area|Forest|Age Class|0-20,Million ha,6.6686,2.5392,0.647,0.0417,0.0,0.0,0.0
USA,Area|Forest|Age Class|21-40,Million ha,31.4663,26.0654,19.7394,12.8838,6.6686,2.5392,0.647
USA,Area|Forest|Age Class|41-60,Million ha,63.1011,55.1293,46.3113,37.7789,31.4663,26.0654,19.7394
USA,Area|Forest|Age Class|61+,Million ha,207.9874,225.4895,242.5257,258.519,271.0885,280.6188,288.837
USA,Carbon Stock|Forest|Total,Mt C,19420.540928,20103.743488,20766.93504,21626.722304,23242.428416,26920.194048,35450.994688
USA,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-555.5714034551763,-501.0152106666677,-486.3404714666668,-630.5106602666657,-1184.8511488,-2697.0281301333357,-6255.920469333331
