Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
BRB,Area|Forest|Age Class|41-60,Million ha,0.0002,0.0013,0.003,0.0031,0.003,0.0019,0.0002
BRB,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0002,0.0013,0.003
BRB,Carbon Stock|Forest|Total,Mt C,0.05386787109375,0.0666190703125,0.07370615625,0.07725221875,0.0789078203125,0.0796565,0.0799902421875
BRB,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.013777619889338627,-0.009350879427083335,-0.005197196354166668,-0.002600445833333335,-0.0012141078124999981,-0.0005490317708333359,-0.00024474427083333306
BRN,Area|Forest|Age Class|0-20,Million ha,0.0078,0.0044,0.0012,0.0002,0.0,0.0,0.0
BRN,Area|Forest|Age Class|21-40,Million ha,0.0104,0.0121,0.0119,0.0111,0.0078,0.0044,0.0012
BRN,Area|Forest|Age Class|41-60,Million ha,0.0001,0.0018,0.0052,0.007,0.0104,0.0121,0.0119
BRN,Area|Forest|Age Class|61+,Million ha,0.5486,0.5486,0.5486,0.5486,0.5487,0.5504,0.5538
BRN,Carbon Stock|Forest|Total,Mt C,69.482944,69.81864,70.18664,70.544232,70.83216,71.033072,71.164048
BRN,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.21642955721348472,-0.24617706666666567,-0.269866666666663,-0.262234133333331,-0.2111472000000058,-0.14733546666666844,-0.09604906666665916
BTN,Area|Forest|Age Class|0-20,Million ha,0.0251,0.0106,0.0023,0.0001,0.0,0.0,0.0
BTN,Area|Forest|Age Class|21-40,Million ha,0.4563,0.2571,0.1334,0.064,0.0251,0.0106,0.0023
BTN,Area|Forest|Age Class|41-60,Million ha,1.551,1.3513,1.0467,0.7166,0.4563,0.2571,0.1334
BTN,Area|Forest|Age Class|61+,Million ha,1.3679,1.7813,2.2179,2.6196,2.9189,3.1326,3.2646
BTN,Carbon Stock|Forest|Total,Mt C,145.559712,154.695744,162.960144,170.362064,176.938688,182.745152,187.846752
BTN,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7.316821748435987,-6.6997568,-6.060560000000017,-5.428074666666658,-4.822857600000007,-4.2580735999999835,-3.7411733333333475
BWA,Area|Forest|Age Class|0-20,Million ha,0.0016,0.0016,0.0016,0.0,0.0,0.0,0.0
BWA,Area|Forest|Age Class|21-40,Million ha,0.0004,0.0001,0.0001,0.0016,0.0016,0.0016,0.0016
BWA,Area|Forest|Age Class|41-60,Million ha,0.0011,0.001,0.0008,0.0006,0.0004,0.0001,0.0001
BWA,Area|Forest|Age Class|61+,Million ha,0.0129,0.0133,0.0135,0.0138,0.014,0.0143,0.0143
BWA,Carbon Stock|Forest|Total,Mt C,0.3674531875,0.3768765625,0.385675625,0.393825125,0.4012669375,0.4079501875,0.413854125
BWA,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.007405454226373139,-0.006910475000000008,-0.00645264583333334,-0.005976299999999982,-0.0054573291666666504,-0.004901050000000021,-0.004329554166666675
CAF,Area|Forest|Age Class|0-20,Million ha,5.0976,2.3033,0.6729,0.0622,0.0,0.0,0.0
CAF,Area|Forest|Age Class|21-40,Million ha,14.9029,14.7727,12.9049,9.1634,5.0976,2.3033,0.6729
CAF,Area|Forest|Age Class|41-60,Million ha,3.0913,5.8032,8.8998,12.4002,14.9029,14.7727,12.9049
CAF,Area|Forest|Age Class|61+,Million ha,14.6473,14.8599,15.2615,16.1133,17.7386,20.6631,24.1613
CAF,Carbon Stock|Forest|Total,Mt C,2780.832512,2950.537216,3108.593408,3251.767808,3378.604544,3488.986112,3583.696384
CAF,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-129.11743690892257,-124.45011626666683,-115.90787413333332,-104.99455999999991,-93.01360639999982,-80.94648320000017,-69.45419946666652
CAN,Area|Forest|Age Class|0-20,Million ha,0.7488,0.6995,0.6348,0.0825,0.0,0.0,0.0
CAN,Area|Forest|Age Class|21-40,Million ha,0.4242,0.2556,0.2159,0.7082,0.7488,0.6995,0.6348
CAN,Area|Forest|Age Class|41-60,Million ha,10.2662,5.0236,2.198,0.9192,0.4242,0.2556,0.2159
CAN,Area|Forest|Age Class|61+,Million ha,437.3257,442.7862,445.7162,447.055,447.5919,447.8098,447.9142
CAN,Carbon Stock|Forest|Total,Mt C,19106.371584,78986813073195.53,6.666292213223389e+19,7.037779603879199e+22,2.454818172941435e+24,1.5032421953921056e+25,3.789247417593537e+25
CAN,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-525.3869948935961,-57923662906332.05,-4.888608497330859e+19,-5.156149761888382e+22,-1.7485896097286045e+24,-9.223576106051721e+24,-1.6764038296143826e+25
CHE,Area|Forest|Age Class|0-20,Million ha,0.0145,0.0076,0.0026,0.0005,0.0,0.0,0.0
CHE,Area|Forest|Age Class|21-40,Million ha,0.0508,0.043,0.0348,0.0255,0.0145,0.0076,0.0026
CHE,Area|Forest|Age Class|41-60,Million ha,0.0722,0.0644,0.06,0.0557,0.0508,0.043,0.0348
CHE,Area|Forest|Age Class|61+,Million ha,0.5064,0.5289,0.5465,0.5622,0.5786,0.5933,0.6065
CHE,Carbon Stock|Forest|Total,Mt C,51.245904,53.20696,54.944296,56.456832,57.751008,58.841044,59.746972
CHE,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1.5981528112202454,-1.4381077333333327,-1.2740463999999991,-1.1091930666666645,-0.9490624000000001,-0.7993597333333317,-0.6643472000000021
CHL,Area|Forest|Age Class|0-20,Million ha,0.0337,0.0274,0.0194,0.0095,0.0,0.0,0.0
CHL,Area|Forest|Age Class|21-40,Million ha,0.0581,0.0454,0.0364,0.0323,0.0337,0.0274,0.0194
CHL,Area|Forest|Age Class|41-60,Million ha,0.1216,0.104,0.0876,0.0739,0.0581,0.0454,0.0364
CHL,Area|Forest|Age Class|61+,Million ha,11.4932,11.5298,11.5632,11.5909,11.6148,11.6338,11.6508
CHL,Carbon Stock|Forest|Total,Mt C,1503.896576,2987.229952,1306263.814144,192778332.012544,7219309059.244032,99489593107.1529,664390621322.0188
CHL,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-19.46760861010157,-1087.7778090666666,-955736.1617407998,-140412850.01216,-5152789199.969758,-67664874968.46649,-414260754024.235
CHN,Area|Forest|Age Class|0-20,Million ha,51.6047,19.8894,3.3608,0.005,0.0,0.0,0.0
CHN,Area|Forest|Age Class|21-40,Million ha,74.9872,94.4262,98.6958,76.3461,51.6047,19.8894,3.3608
CHN,Area|Forest|Age Class|41-60,Million ha,38.1847,39.5079,43.0575,58.2221,74.9872,94.4262,98.6958
CHN,Area|Forest|Age Class|61+,Million ha,34.0087,44.9618,53.6712,64.2121,72.1934,84.4697,96.7287
CHN,Carbon Stock|Forest|Total,Mt C,7037.604864,7295.878144,7445.42208,7539.844096,7602.297344,7644.608512,7673.755136
CHN,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-342.1412423506156,-189.4004053333336,-109.66555306666669,-69.24281173333299,-45.79904853333319,-31.0281898666668,-21.374190933333313
CIV,Area|Forest|Age Class|0-20,Million ha,1.6917,0.8837,0.2298,0.0101,0.0,0.0,0.0
CIV,Area|Forest|Age Class|21-40,Million ha,1.9562,2.5128,2.7572,2.4247,1.6917,0.8837,0.2298
